pathway	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	level1	level2	level3
ko00010	0.00834814495511963	0.00816555183177651	0.00816103462491216	0.00826457152045939	0.00822777266492618	0.00837304760633121	0.0084496413476422	0.00836641628854858	0.00811300361715513	0.0081460747741033	0.00832417196391393	0.00832359748080769	0.00820892560033916	0.00860100539024582	0.00835028799817497	0.00827415189167664	0.00828016015727117	0.00822855915912728	0.00824408374610418	0.00825287350689268	0.00829713159452718	0.00821938213298044	0.00854172059123584	0.00814204055723333	Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism
ko00020	0.00536314866493061	0.00509792483963769	0.00536064839501051	0.00537959527028541	0.00519471698072427	0.0054694753210232	0.00557031395951237	0.00552344528368667	0.0054697884579107	0.00582675334799715	0.00542336892409183	0.00553666999455961	0.00575829957105165	0.00554505680168444	0.00534907583014461	0.00586499052615345	0.00557584465053207	0.00546517978588692	0.00559203650181833	0.00559602287642544	0.00572705032355312	0.00575653390900042	0.00557603662964176	0.00544075387504834	Citrate cycle (TCA cycle)	Carbohydrate metabolism	Metabolism
ko00030	0.00448343417779152	0.00457715438957931	0.00422056969557581	0.00446397518260634	0.00454639396889337	0.00450805172997101	0.00445577203148361	0.00436867182620459	0.00440984076444242	0.00445444712690446	0.00453276345318169	0.00448341492852668	0.00452781656391291	0.00445569282739701	0.00450275732001879	0.00448545522982509	0.00445972281573659	0.0045278303170485	0.00452211240697868	0.0046465958815127	0.00459844173689739	0.00445721335679015	0.00475519933676778	0.00453852272366021	Pentose phosphate pathway	Carbohydrate metabolism	Metabolism
ko00040	0.00291416726226018	0.00265352931586063	0.00272351673011023	0.00262009632251522	0.0027602160265918	0.00266545951508968	0.00268367450238323	0.0026409937314785	0.00254584763539749	0.0025292794923756	0.00267192852321897	0.00249181868057032	0.00272676981710527	0.00279448600230621	0.00254377375184074	0.00258300056024427	0.00261316337672653	0.00279300589839871	0.00270011967161992	0.00264401275542108	0.00266774663775734	0.00257468492283051	0.0028577321050813	0.00280544268796565	Pentose and glucuronate interconversions	Carbohydrate metabolism	Metabolism
ko00051	0.00367138748890061	0.0037303834399421	0.00346825002995331	0.00367418816323072	0.00372209747359975	0.00359563466624638	0.00363141050317316	0.00351224468613595	0.00349264719509141	0.00340297084278293	0.00360798665362468	0.00352676254011946	0.00357725369674308	0.00371850849002054	0.00382471531047632	0.00350574698675129	0.0035435949413104	0.00370123732283272	0.00363816117533422	0.00366541112744537	0.00358628302172367	0.00340810369652645	0.00396933405070899	0.00357563876572402	Fructose and mannose metabolism	Carbohydrate metabolism	Metabolism
ko00052	0.00271640672116295	0.00226829695303466	0.0029274762223405	0.00271762728415662	0.00265275615631844	0.00252102205618873	0.00260599470676579	0.00257751337380305	0.00247711911865009	0.00241968944865962	0.00264293494050779	0.00255517803923016	0.00272564036059143	0.00272418633061598	0.00281017320680505	0.00265172137739702	0.00263000564957233	0.00288763405738552	0.00274761601823643	0.00279325840753672	0.00271794358931603	0.0026654285068888	0.0032021553935635	0.0027655893238028	Galactose metabolism	Carbohydrate metabolism	Metabolism
ko00053	0.00196717219971682	0.00198293129358699	0.00189563217959726	0.00181454921573017	0.00194896148056945	0.00188234166523962	0.00190834988103588	0.00185054327141084	0.00182286824530977	0.00183304104289532	0.00195343529494686	0.00186851307863777	0.00176423501761426	0.00195940193310999	0.00176494189147003	0.00180691766583128	0.00181390201624697	0.00189257376575159	0.00184880324801106	0.00186498759322874	0.00188679047497491	0.00193464923841607	0.00192093339330158	0.00196727223913481	Ascorbate and aldarate metabolism	Carbohydrate metabolism	Metabolism
ko00061	0.00865917912060038	0.00774436600858172	0.00847185923809454	0.00834937146632192	0.00853636944204317	0.00852344177850855	0.0087326053244261	0.0088877235169524	0.00863106030324866	0.00845671653142946	0.00837453242770718	0.00837937310319721	0.00840016123164563	0.00838305680672534	0.00831945323277515	0.00823444204092861	0.00857474721843227	0.00842512784400169	0.00866437900687008	0.00835879447144212	0.0083188618993975	0.00849114142905519	0.00866597385855707	0.00851237738865971	Fatty acid biosynthesis	Lipid metabolism	Metabolism
ko00062	8.96207100626831e-06	1.51819935834297e-05	2.12667438266013e-05	1.22916478898209e-05	1.22524239201713e-05	1.03421399388034e-05	1.09311476997388e-05	1.46670427802023e-05	1.4188683383812e-05	1.32799033941291e-05	7.57598693365681e-06	7.82371884542007e-06	1.55617918079125e-05	9.19007611911439e-06	1.37129711389841e-05	1.16462845561659e-05	1.11137174517116e-05	1.32236183025611e-05	1.28321549478363e-05	9.21716532620774e-06	1.28139910645045e-05	1.41465036225971e-05	1.77502373517922e-05	1.44837506139357e-05	Fatty acid elongation	Lipid metabolism	Metabolism
ko00071	0.009677305688355	0.00897758156570111	0.00970454203895599	0.00941752613839378	0.00929064425868543	0.00966270772466993	0.00951520146529858	0.00972193060341745	0.00980321357931825	0.00908024517024214	0.0092790371101068	0.00924674364927485	0.00873065128695971	0.00970125003977322	0.00970403581603476	0.00897571400554907	0.00932919102075213	0.00943975472946418	0.00958857838369961	0.00881362018235651	0.00925777199985905	0.00906957955896921	0.00905601591366999	0.00930939087929033	Fatty acid degradation	Lipid metabolism	Metabolism
ko00072	0.00216384853796848	0.00199271021981756	0.00216675158125816	0.00208092133473434	0.00208051378132924	0.00215908106832768	0.00215190316382573	0.00215803490695401	0.00221330500274213	0.00216251055634848	0.00208694656989616	0.00209161126848806	0.00204031136981992	0.00212745670904927	0.00206932737640052	0.00212619513208927	0.00212562591530157	0.00219701165178873	0.00217999446671242	0.002073278496404	0.00221143117206518	0.00223759855161588	0.00208827780508013	0.00221519746535478	Synthesis and degradation of ketone bodies	Lipid metabolism	Metabolism
